Title,Buy Box: Current,Buy Box Seller,Buy Box: Is FBA,Amazon: Current,New: Current,New: Highest,ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand
"Cole Haan Men's GOTO Wing Oxford, Pinot, 13",$121.32 ,3rd Party (AGCBFSJ4B9UIH),no,,$106.37 ,$158.12 ,B08SR1CFQR,0194736514167,194736514167,B0CWT3156C,Cole Haan
"Cole Haan Men's GOTO Wing Oxford, Pinot, 12",$121.32 ,3rd Party (AGCBFSJ4B9UIH),no,,$106.37 ,$220.00 ,B08SQDR4BV,0194736514150,194736514150,B0CWT3156C,Cole Haan
"New Balance Men's Fresh Foam 860 V13 Running Shoe, Black/Phantom, 10.5 Wide",,,no,,,$252.18 ,B0BB3D2RWZ,0196307619851,196307619851,B0CHBFH8S3,New Balance
"Cole Haan Women's Zerogrand Meritt Wing Tip Oxford, Black/Ivory, 8 Wide",,,no,,,$150.00 ,B0CC9VNJGM,0196414404425,196414404425,B0CFZHWXW9,Cole Haan
"Cole Haan Men's, 4.Zerogrand Regatta Boat Shoe",$104.97 ,3rd Party (A1BNXE6U3W2NOH),no,,$104.97 ,$149.95 ,B0C2T9PQ2H,0196414147667,196414147667,B0BPX4DCJN,Cole Haan
Cole Haan 4.Zerogrand Regatta Castlerock/Micro Chip/Optic White 8.5 D (M),$153.95 ,3rd Party (A1C6SHUL08OHRJ),no,,$153.95 ,$284.05 ,B0C463KBFK,0196414234145,196414234145,B0BPX4DCJN,Cole Haan
"Cole Haan Men's, 4.Zerogrand Regatta Boat Shoe",$81.63 ,3rd Party (AUTFUZM21LT4F),no,,$81.63 ,$149.95 ,B0C2T9BPS8,0196414147674,196414147674,B0BPX4DCJN,Cole Haan
"Cole Haan Men's, 4.Zerogrand Regatta Boat Shoe",$104.97 ,3rd Party (A1BNXE6U3W2NOH),no,,$104.97 ,$149.95 ,B0C2T8FJQN,0196414147704,196414147704,B0BPX4DCJN,Cole Haan
"Cole Haan Men's Grandpro Rally Canvas T-Toe Sneaker, Black/Silver Birch, 11.5",$106.99 ,3rd Party (AE60DXUTMRRDB),no,,$106.99 ,$107.95 ,B0BQ5WNHF9,0196414138283,196414138283,B0BPX4DCJN,Cole Haan
"Cole Haan Men's Grandpro Rally Canvas T-Toe Sneaker, Microchip/Optic White, 12 Wide",,,no,,,$98.00 ,B0BQ5QBXF1,0196414135893,196414135893,B0BPX4DCJN,Cole Haan
