Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box)
"Birkenstock Womens, Franca Green Olive Oiled WOM Sand",1360769,2495188,$135.00 ,1,$135.00 ,$235.50 ,$135.00 ,A1C20BH4U0AX41,1,B0B5VTBLKM,0887759838326,0887759838326,B0B8W4XCRR,Birkenstock,no
Birkenstock 1024310339 Zermatt 365 Eggshell Sd N 39,378994,3894828,$144.95 ,3,$144.95 ,$251.58 ,$212.18 ,A2F3U3NJJC3IJO,3,B0BNNLJJ3D,0192761109020,0192761109020,B0CFGR3K8Z,Birkenstock,no
"Birkenstock Unisex Arizona Sandal,Mocha Birkibuc,38 N EU",180732,66097,$109.95 ,28,$109.95 ,$150.00 ,$125.00 ,A1C20BH4U0AX41,1,B005G1DWEY,0809410059291,0809410059291,,Birkenstock,yes
Gary,444194,444194,$142.78 ,1,$142.78 ,$299.95 ,$142.78 ,AB8PP5ABO5Y5C,2,B08964V3V2,4.052E+12,4052001986124,B0BZQKQ78G,Birkenstock,no
Birkenstock Unisex Arizona BS Synthetic Desert Dust Thyme Sandals 9 W / 7 M US,2783201,1603501,$110.23 ,1,$110.23 ,$180.95 ,$126.12 ,AB8PP5ABO5Y5C,2,B0BYF91995,4.06142E+12,4061418353306,B0BDTV6Y5J,Birkenstock,no
Birkenstock Unisex Arizona BS Synthetic Desert Dust Gray Taupe Sandals 11 W / 9 M US,1007727,1590528,$110.23 ,10,$107.23 ,$133.95 ,$108.24 ,AB8PP5ABO5Y5C,1,B09S87S23K,4.06142E+12,4061417820267,B0BDTV6Y5J,Birkenstock,yes
Birkenstock Unisex Arizona BS Synthetic Desert Dust Gray Taupe Sandals 13 W / 11 M US,909386,1490876,$110.23 ,1,$110.23 ,$180.95 ,$110.23 ,AB8PP5ABO5Y5C,1,B09S8KNS8M,4.06142E+12,4061417820342,B0BDTV6Y5J,Birkenstock,no
Birkenstock 1020413144 Nagoya Db Black Nb R 44,817112,913698,$126.51 ,1,$126.51 ,$140.09 ,$129.11 ,AB8PP5ABO5Y5C,1,B0BZQFM1W7,0886454775479,0886454775479,B0CMLL5SPN,Birkenstock,no
Birkenstock 1020413141 Nagoya Db Black Nb R 41,872156,805985,$126.51 ,1,$126.51 ,$273.48 ,$129.10 ,AB8PP5ABO5Y5C,2,B0BY2J65X2,0886454775387,0886454775387,B0CMLL5SPN,Birkenstock,no
Birkenstock Unisex Nagoya Nubuck Leather Desert Buck Black Sandals 14 W / 12 M US,859319,1018778,$126.51 ,1,$126.51 ,$204.77 ,$129.11 ,AB8PP5ABO5Y5C,2,B0B7ZQVRJ6,4.06142E+12,4061416833329,B0CMLL5SPN,Birkenstock,no
"Birkenstock Buckley Shearling Narrow Unisex Shoes Size 9, Color: Tea",504999,397797,$177.00 ,1,$176.00 ,$291.81 ,$170.00 ,"A1QFV54JFUWZAD, A1C20BH4U0AX41",4,B08C5B37G2,0822698499290,0822698499290,B0C2VGKD7H,Birkenstock,yes
Birkenstock Arizona Split Black/Poppy Birko-Flor™ EU 38 (US Women's 7-7.5) Narrow,427795,403935,$114.90 ,1,$114.90 ,$175.00 ,$114.90 ,A2TVRE2CB5TELZ,2,B08P26WFFQ,0822698973646,0822698973646,B0C85W1V2V,Birkenstock,no
"Birkenstock Milano Sandal,Mocha Birkibuc,45 M EU",2362244,1253879,$75.99 ,2,$75.99 ,$182.00 ,$79.31 ,A1M5EIC3PTHQ2U,2,B001EJNIRS,0736399455588,0736399455588,B0CP1TKRKT,Birkenstock,no
"Birkenstock Milano Sandal,Mocha Birkibuc,42 M EU",669858,581468,$110.23 ,1,$110.23 ,$135.00 ,$108.19 ,AB8PP5ABO5Y5C,2,B001EJNIQ4,0736399455557,0736399455557,B0CP1TKRKT,Birkenstock,no
Birkenstock Women's Arizona Birkoflor - Standard Fitting Classic Buckled Two Strap - Flip Flop Sandal 9 Stone,2344174,2249932,,,$129.00 ,$139.22 ,$119.58 ,-,1,B07CP38SYB,4.01387E+12,4013871744894,,Birkenstock,no
Birkenstock Women's Dusty Blue,627042,770697,,,$150.00 ,$235.52 ,$141.46 ,A1C20BH4U0AX41,1,B09N9VSR3H,0887759276463,0887759276463,B007IGOOUQ,Birkenstock,no
Birkenstock Unisex Arizona Essentials EVA White Sandals - 40 N EU / 9-9.5 2A(N) US,329693,137405,$75.00 ,1,$75.00 ,$200.00 ,$83.59 ,ANZYNJW9IIF9C,3,B06WGL878G,0886454424896,0886454424896,,Birkenstock,yes
Birkenstock 1020716340 Arizona SFB Midnight Sd N 40,1349032,1747701,$89.00 ,2,$89.00 ,$235.94 ,$89.00 ,A1M3WKKJBR69WV,2,B094NY5Q11,0886454862957,0886454862957,B0CJ4G3THV,Birkenstock,no
Birkenstock 1022536342 Arizona V Ombre ROS Bb N 42,984124,1128758,$125.00 ,1,$125.00 ,$198.41 ,$125.00 ,A1C20BH4U0AX41,1,B09N5QW8NC,0887759639015,0887759639015,B0C5N9T86W,Birkenstock,no
"Birkenstock Women's Madrid BF Graceful White Pearl 41, 10",402486,442562,,,$148.98 ,$154.95 ,$132.03 ,A2PM2LFH21HQNQ,1,B004329AP2,4.04071E+12,4040714891477,B073GX55DY,Birkenstock,no
Birkenstock 1020411140 Arizona Lght Rose Sd Sh R 40,921868,831990,$164.49 ,1,$164.49 ,$284.07 ,$178.51 ,AB8PP5ABO5Y5C,4,B0989TYP5D,0886454774670,0886454774670,B0CMLL5SPN,Birkenstock,no
"Birkenstock Milano Sandal,Mocha Birkibuc,43 M EU",628280,645732,$75.99 ,4,$75.99 ,$142.58 ,$79.68 ,A1M5EIC3PTHQ2U,3,B001EJNIQO,0736399455564,0736399455564,B0CP1TKRKT,Birkenstock,no
"Birkenstock Milano Sandal,Mocha Birkibuc,38 M EU",666159,1050628,$110.23 ,1,$110.23 ,$130.00 ,$113.03 ,AB8PP5ABO5Y5C,2,B001EJNIO6,0736399455458,0736399455458,B0CP1TKRKT,Birkenstock,no
"Birkenstock Milano Sandal,Mocha Birkibuc,39 M EU",646156,512626,$110.23 ,1,$110.23 ,$182.00 ,$112.47 ,AB8PP5ABO5Y5C,2,B001EJNIOQ,0736399455465,0736399455465,B0CP1TKRKT,Birkenstock,no
Birkenstock 1021334339 Arizona V Irid Rose Mf N 39,445799,479158,,,$173.21 ,$205.21 ,$142.74 ,A1B43WMIJ58I3U,2,B09N5BW26C,0887759274346,0887759274346,B0BZQKQ78G,Birkenstock,no
Birkenstock Gary Black Suede EU 44 (US Men's 11-11.5) Regular,426417,452482,,,$249.17 ,$263.37 ,$185.25 ,-,1,B07FKHK2KR,0886457962180,0886457962180,B0BZQKQ78G,Birkenstock,no
"Birkenstock Gary Shoe - Men's Black Suede, 41.0, 10-10.5",434351,429772,$149.99 ,1,$149.99 ,$266.23 ,$163.66 ,A1C20BH4U0AX41,2,B07FKJJKFY,0886457962098,0886457962098,B0BZQKQ78G,Birkenstock,no
Birkenstock Gary Black Suede EU 45 (US Men's 12-12.5) Regular,427223,443779,,,$243.36 ,$254.31 ,$243.80 ,ANZYNJW9IIF9C,3,B07FKCKRXL,0886457962210,0886457962210,B0BZQKQ78G,Birkenstock,no
Birkenstock Unisex Arizona Iron Oiled Leather Sandals - 46 M EU/13-13.5 B(M) US Men,1032364,758378,$135.00 ,1,$135.00 ,$243.09 ,$135.00 ,A1C20BH4U0AX41,1,B00FA6ADJW,0886454263372,0886454263372,B0CWDZLFRF,Birkenstock,no
"Birkenstock Womens Yao Sandals, Black, Size 42 N EU (11-11.5 N US Women)",353202,405452,,,$177.79 ,$186.80 ,$177.79 ,ANZYNJW9IIF9C,1,B07FKCPMNH,0802436411340,0802436411340,B07GSFQWKQ,Birkenstock,no
Birkenstock Women's Yao Super NAT Flowers Wht 37 N,412283,386969,$109.00 ,1,$109.00 ,$135.00 ,$109.00 ,A1C20BH4U0AX41,1,B07VBPQKK8,0822698121139,0822698121139,B07GSFQWKQ,Birkenstock,no
"Birkenstock Yao Hex Unisex Sandals Size 4, Color: Orange Patent Bf",396097,394756,$72.00 ,1,$72.00 ,$110.00 ,$89.93 ,A2TVRE2CB5TELZ,2,B07VHSY78Y,0822698180013,0822698180013,B07GSFQWKQ,Birkenstock,no
Birkenstock Women's Yao Black Birko-Flor 37 N,360726,405798,,,$135.00 ,$183.18 ,$103.33 ,A1C20BH4U0AX41,4,B07FK9RB2L,0802436411197,0802436411197,B07GSFQWKQ,Birkenstock,no
Birkenstock 1016328138 Yao Mocha Bb R 38,360208,396589,$109.00 ,1,$109.00 ,$125.00 ,$109.00 ,A1C20BH4U0AX41,1,B07YDG2WDR,0822698056219,0822698056219,B07GSFQWKQ,Birkenstock,no
Birkenstock Women's Yao White Birko-Flor 37 N,369619,408429,$109.00 ,1,$109.00 ,$183.24 ,$109.00 ,A1C20BH4U0AX41,1,B07FKF335V,0802436413245,0802436413245,B07GSFQWKQ,Birkenstock,no
BIRKENSTOCK Arizona Soft Footbed Navy Birko-Flor 45 (US Men's 12-12.5) Regular,295108,104305,$89.00 ,15,$87.27 ,$213.88 ,$88.04 ,A2E7J74KJYV9ZH,3,B07N15YQQD,0736399589559,0736399589559,,Birkenstock,yes
Birkenstock LUTRY PREMIUM SUEDE SUEDE LEATHER WOMENS CLOGS Gray Taupe 41 US 10,384298,384298,$267.40 ,1,$267.40 ,$267.40 ,$267.40 ,AYN5A0CZC142X,1,B0CN36D31W,0192761381334,0192761381334,B0CYB5HTFL,Birkenstock,no
Birkenstock New Women's Buckley Shearling Clog Tea Suede 37 N,512496,403921,$167.00 ,1,$167.00 ,$291.89 ,$170.00 ,A1C20BH4U0AX41,3,B08C4V1MDR,0822698499207,0822698499207,B0C2VGKD7H,Birkenstock,yes
Birkenstock 1024033338 Buckley Matcha Nb N 38,511715,1632738,$200.00 ,1,$200.00 ,$200.00 ,,-,0,B0BZQFMK1B,0192761033189,0192761033189,B0C2VGKD7H,Birkenstock,yes
"BIRKENSTOCK Women's Slides, Black, 39 EU",937764,1091413,$110.00 ,9,$110.00 ,$134.70 ,$110.00 ,"AB8PP5ABO5Y5C, A15AGXA4VOK562",2,B08L3X72TF,4.06142E+12,4061416348281,B08V5C43XQ,Birkenstock,no
"Birkenstock Women's Open-Back Sandal, ICY Metallic Old Rose, 10",393252,467795,,,,$123.95 ,,-,,B07ZRQVJ25,4.04373E+12,4043734664540,B073GX55DY,Birkenstock,no
Birkenstock Womens Arizona Black Patent Birko-flor Sandals 38 EU,558976,192286,$104.81 ,57,$104.81 ,$128.00 ,$115.18 ,A1C20BH4U0AX41,1,B073YRVGZJ,0886925576963,0886925576963,,Birkenstock,yes
"Birkenstock Men's Zermatt Shearling Slippers, Dark Blue/Natural, 10 Medium US",1126700,841601,,,$120.00 ,$189.98 ,$120.00 ,A1C20BH4U0AX41,3,B08H7ZZMHN,0822698339442,0822698339442,B0CTMM3B39,Birkenstock,yes
"Birkenstock Unisex Honolulu EVA Sandal, Copper, 43 R EU",1492218,954466,$58.37 ,30,$48.42 ,$64.71 ,$68.71 ,-,4,B088J824S4,0822698074879,0822698074879,B0CWYLPSSX,Birkenstock,no
Birkenstock 1021312338 Oswego Gray LTR N 38,741933,637510,$257.07 ,1,$257.07 ,$259.07 ,$257.31 ,A1B43WMIJ58I3U,2,B094W9G45B,0887759273158,0887759273158,B0C4Q4RSRY,Birkenstock,no
