Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: UPC,Prime Eligible (Buy Box),Parent ASIN,Brand,Product Codes: EAN,PID,Black_list
Brooks Men's Levitate 5 Neutral Running Shoe - Black/Ebony/Grey - 9.5 Medium,227507,171033,,,$189.98 ,$189.98 ,$189.98 ,A1PF2RJVZ25QD4,1,B08LP8CLRL,1.90341E+11,yes,B09MVB1489,Brooks,1.90341E+11,8854845654729768651,V
Brooks Men's Glycerin GTS 20 Supportive Running Shoe - Grey/Chili Oil/Orange - 13 Medium,5052,5234,,,,$159.95 ,$186.26 ,-,,B09RRR7DVL,1.95394E+11,yes,B0B3ZZXRKF,Brooks,1.95394E+11,8841608157707800383,V
Brooks Women's Ghost 14 GTX Waterproof Neutral Running Shoe - Black/Blackened Pearl/Aquaglass - 5 Medium,226041,200313,,1,$153.31 ,$179.39 ,$134.14 ,-,1,B097F1ZVQW,1.90341E+11,no,B0C6S9QMHH,Brooks,1.90341E+11,8841207481008960829,V
Brooks Men's Ghost 15 Neutral Running Shoe - Crown Blue/Black/Green - 15 Medium,110,192,,,$192.43 ,$192.43 ,$151.04 ,A1MLP04OASBI2Z,2,B0BHXSY3S6,1.95394E+11,no,B09RRZXQHS,Brooks,1.95394E+11,8791596576250306706,V
Brooks Women's Levitate 4 Running Shoe - Antarctica/Atlantis/White - 10.5,420194,335910,$153.22 ,1,$153.22 ,$246.00 ,$153.23 ,-,1,B083LW96B3,1.90341E+11,no,B083KC77BQ,Brooks,1.90341E+11,8789379097450803488,V
Brooks Women's Ghost 15 Neutral Running Shoe - Kentucky Blue/Peacoat/Pink - 9.5 Medium,47,66,,,,$261.00 ,,-,,B09RRRT3C2,1.95394E+11,yes,B0CKKBPDKF,Brooks,1.95394E+11,8749359457201977021,V
Brooks Women's Aurora Neutral Running Shoe - White/Alloy/Black - 11.5 Medium,190378,189356,,,,$284.99 ,$262.64 ,-,,B0BJ4MG9M7,1.95394E+11,yes,B09K22T5KY,Brooks,1.95394E+11,8742548919456580290,V
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Peacoat/Blue Iris/Rhapsody - 7.5 Medium,887863,387510,,,$139.99 ,$179.95 ,$149.98 ,A114I0OUP3FTFB,1,B0BHL4RT9S,1.95394E+11,yes,,Brooks,1.95394E+11,8711692098723488713,V
Brooks Women's Adrenaline GTS 22 Supportive Running Shoe - Alloy/Blue/Green - 10.5 Wide,84,71,,,$163.15 ,$163.15 ,$160.25 ,A1MLP04OASBI2Z,1,B08QTR7SMS,1.90341E+11,no,B0C62SXDLR,Brooks,1.90341E+11,8702008595891964031,V
Brooks Men's Levitate 4 Running Shoe - Black/Blackened Pearl/White - 13,316981,256679,,,$176.13 ,$181.47 ,$176.13 ,A1MLP04OASBI2Z,1,B083R7W9RY,1.90341E+11,yes,B089TGQFFN,Brooks,1.90341E+11,8687120829364789530,V
