Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,Referral Fee %,"New, 3rd Party FBM: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Amazon offer),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List,Blacklisted,Curr_Listed?
Brooks Women's Hyperion Tempo Road Running Shoe - Blue Coral/Blue Light/Pink - 5 Medium,10737.0,9478.0,,,$190.00 ,$290.84 ,,,A1PF2RJVZ25QD4,1.0,B094MKW65V,195394000000.0,195394000000.0,B089TMQRTF,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Women%27s+Hyperion+Tempo+Road+Running+Shoe+-+Blue+Coral%2FBlue+Light%2FPink+-+5+Medium&tbm=shop,Y,https://www.amazon.com/dp/B094MKW65V?psc=1,"https://www.google.com/shopping/product/11478508679086096933/offers?q=195394000000.0&prds=cid:11478508679086096933,cond:1",,,,,,N,V,0
Brooks Women's Ghost 14 Neutral Running Shoe - Peacoat/Blissful Blue/Fuchsia - 8 Medium,11850.0,7933.0,,,$149.99 ,$243.86 ,,,A114I0OUP3FTFB,2.0,B09N9XH2Q1,195394000000.0,195394000000.0,B0BCQT2247,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Women%27s+Ghost+14+Neutral+Running+Shoe+-+Peacoat%2FBlissful+Blue%2FFuchsia+-+8+Medium&tbm=shop,Y,https://www.amazon.com/dp/B09N9XH2Q1?psc=1,"https://www.google.com/shopping/product/11474381250708739269/offers?q=195394000000.0&prds=cid:11474381250708739269,cond:1",,,,,,N,V,0
Brooks Men's Ghost 15 Neutral Running Shoe - Alloy/Oyster/Black - 14 Wide,110.0,193.0,$109.95 ,2.0,$109.95 ,$199.10 ,,,-,2.0,B09RS1ZKTX,195394000000.0,195394000000.0,B09RRZXQHS,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Men%27s+Ghost+15+Neutral+Running+Shoe+-+Alloy%2FOyster%2FBlack+-+14+Wide&tbm=shop,Y,https://www.amazon.com/dp/B09RS1ZKTX?psc=1,"https://www.google.com/shopping/product/114566838680875948/offers?q=195394000000.0&prds=cid:114566838680875948,cond:1",,,,,,N,V,0
Brooks Women's Ghost 14 Neutral Running Shoe - Blue/Ocean/Oyster - 7.5 Medium,12066.0,8030.0,,,$149.99 ,$180.00 ,,,A114I0OUP3FTFB,1.0,B095RCPQZP,195394000000.0,195394000000.0,B0BCQT2247,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Women%27s+Ghost+14+Neutral+Running+Shoe+-+Blue%2FOcean%2FOyster+-+7.5+Medium&tbm=shop,Y,https://www.amazon.com/dp/B095RCPQZP?psc=1,"https://www.google.com/shopping/product/11455140324782007283/offers?q=195394000000.0&prds=cid:11455140324782007283,cond:1",,,,,,N,V,0
Brooks Women's Ghost 15 Neutral Running Shoe - Black/Jacaranda/Salt - 5.5 Medium,49.0,71.0,,,$192.50 ,$192.50 ,,,A1MLP04OASBI2Z,1.0,B09RS2RL1M,195394000000.0,195394000000.0,B0CKKBPDKF,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Women%27s+Ghost+15+Neutral+Running+Shoe+-+Black%2FJacaranda%2FSalt+-+5.5+Medium&tbm=shop,Y,https://www.amazon.com/dp/B09RS2RL1M?psc=1,"https://www.google.com/shopping/product/11444987951738690892/offers?q=195394000000.0&prds=cid:11444987951738690892,cond:1",,,,,,N,V,0
"Brooks Women's Interlace Sports Bra for High Impact Running, Workouts & Sports with Maximum Support - Bluetiful - 40 DD/E",213709.0,226112.0,,,,$120.43 ,,,-,,B09HF7VKSS,195394000000.0,195394000000.0,B08R813XKT,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Women%27s+Interlace+Sports+Bra+for+High+Impact+Running%2C+Workouts+%26+Sports+with+Maximum+Support+-+Bluetiful+-+40+DD%2FE&tbm=shop,Y,https://www.amazon.com/dp/B09HF7VKSS?psc=1,"https://www.google.com/shopping/product/1143081501408535335/offers?q=195394000000.0&prds=cid:1143081501408535335,cond:1",,,,,,N,V,0
Brooks Levitate GTS 5 Men's Supportive Running Shoe - White/Titan/Flame - 11,325399.0,324251.0,,,$183.18 ,$194.94 ,,,A1PF2RJVZ25QD4,1.0,B09JN2F3PL,195394000000.0,195394000000.0,B0B41GFJM9,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Levitate+GTS+5+Men%27s+Supportive+Running+Shoe+-+White%2FTitan%2FFlame+-+11&tbm=shop,Y,https://www.amazon.com/dp/B09JN2F3PL?psc=1,"https://www.google.com/shopping/product/11427865215239870613/offers?q=195394000000.0&prds=cid:11427865215239870613,cond:1",,,,,,N,V,0
Brooks Women's Ghost 15 Neutral Running Shoe - Black/Rosegold - 6 Medium,48.0,71.0,,,$192.50 ,$192.50 ,,,A1MLP04OASBI2Z,1.0,B0C2MN2SJM,195394000000.0,195394000000.0,B0CKKBPDKF,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Women%27s+Ghost+15+Neutral+Running+Shoe+-+Black%2FRosegold+-+6+Medium&tbm=shop,Y,https://www.amazon.com/dp/B0C2MN2SJM?psc=1,"https://www.google.com/shopping/product/11380692984452370114/offers?q=195394000000.0&prds=cid:11380692984452370114,cond:1",,,,,,N,V,0
"Brooks Women's Plunge 2.0 Sports Bra for Running, Workouts & Sports - Nile Green - Large",496940.0,577199.0,,,$74.85 ,$74.85 ,,,A1MLP04OASBI2Z,1.0,B0BBKYRPBM,195394000000.0,195394000000.0,B0BBL2BHFY,Brooks,,GB195394000000.0,https://www.google.com/search?q=195394000000.0+Brooks+Women%27s+Plunge+2.0+Sports+Bra+for+Running%2C+Workouts+%26+Sports+-+Nile+Green+-+Large&tbm=shop,Y,https://www.amazon.com/dp/B0BBKYRPBM?psc=1,"https://www.google.com/shopping/product/11352186965899282219/offers?q=195394000000.0&prds=cid:11352186965899282219,cond:1",,,,,,N,V,0
Men's Brooks Podium Short Sleeve,,,$27.99 ,,$23.99 ,$27.99 ,,,-,1.0,B07MVQ6FVZ,762053000000.0,762053000000.0,,Brooks,,GB762053000000.0,https://www.google.com/search?q=762053000000.0+Men%27s+Brooks+Podium+Short+Sleeve&tbm=shop,Y,https://www.amazon.com/dp/B07MVQ6FVZ?psc=1,"https://www.google.com/shopping/product/11333974723706386019/offers?q=762053000000.0&prds=cid:11333974723706386019,cond:1",,,,,,N,V,0
