Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Black_list,PID
"Skechers Kids Girl's Dreamy Lites - Swirly Sweets Sneaker, Blue/Multi, 3 W Little Kid",264192,231315,,,$46.99,$108.74,$54.95,A223EGCZSFWH5I,1,B09HJHMS8Y,196311494543,196311494543,B0BTC8RVMJ,Skechers,yes,V,11280125435892851351
"Skechers mens Burgin-sosder Industrial Boot, Black Embossed Leather, 11.5 Wide US",195037,177643,,,$100.20,$165.37,$100.20,A2QFERO09X9TW0,1,B0777WD3M3,191665613640,191665613640,B0CLFZJ45B,Skechers,yes,V,11283610323727536575
"Skechers Kids Boy's Comfy Flex-Mini Trainer Sneaker, Navy/Lime, 10 Wide Toddler",137949,163563,,,$34.97,$50.95,$38.23,A2IM9PHK2JSLC3,1,B08NFCMCJ8,195204751473,195204751473,B09GM3J8XM,Skechers,yes,V,11306961947964111535
"Skechers USA Men's Men's Proven-Renco Loafer, Char, 8.5",445599,329439,$59.90,1,$59.90,$114.62,$87.52,A2TVRE2CB5TELZ,2,B09DK3X277,195969443439,195969443439,B09DJLJC8Q,Skechers,no,V,11353229158156139328
"Skechers USA Men's Men's Proven-Renco Loafer, Char, 11",427761,315630,$64.98,2,$59.99,$117.46,$64.98,A2H2AYTJFCST9E,2,B09DK4CS28,195969443484,195969443484,B09DJLJC8Q,Skechers,no,V,11399271022835731042
"Skechers Women's Low-Top Trainers Sneaker, Natural, 10",2559313,917209,$101.99,1,$101.99,$146.33,$103.67,A1BMYXFTS7NTJR,1,B082KX6SS9,193642982664,193642982664,B0D1GNRJCX,Skechers,no,V,11420461179341037798
"Skechers Women's Bootie Ankle Boot, Black/Gray, 5.5 Wide",227074,121287,,,$119.00,$122.83,$119.00,A2650U6VN1Z6TA,1,B0858Y9JL5,194880468446,194880468446,B0CLRRFK8M,Skechers,yes,V,11445586512577216007
"Skechers Women's Go Elite 5 Arch Fit Waterproof Golf Shoe Sneaker, Gray/Aqua Sport, 8.5",298781,353494,,,$155.65,$155.65,$145.37,AUZHYMZYT39ZN,1,B09ZPWGJ32,195969292471,195969292471,B09WSQVBCG,Skechers,no,V,11448758615009502881
"Skechers Kids Girls TWI-Lites 2.0-Twinkle Charm Sneaker, Rose Gold, 1.5 Little Kid",237031,234154,,,$85.00,$85.00,$79.79,A2650U6VN1Z6TA,1,B0BSMHXCX7,196642967761,196642967761,B0CGZWJ5D5,Skechers,yes,V,11459577970502751398
"Skechers Kids Girl's Skech Fast - Surprise Groove Sneaker, Hot Pink/Multi, 3.5 Big Kid",114067,167699,,,$77.00,$78.00,$71.80,A2650U6VN1Z6TA,1,B09HJHLKFK,196311445248,196311445248,B0CTHNW7ZZ,Skechers,no,V,11494962398244737434
