Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Buy Box Seller,Black_list,PID
"New Balance Men's Fresh Foam X 860 V12 Running Shoe, Blue/Helium, 11.5 XW",,,,,,$243.22,,,,B096WMQBM5,195481442552,195481442552,B0B9BRT7LY,New Balance,,,V,10246990583472890292
"New Balance Men's 574 Core Sneaker, Grey/White, 12",,,,,$115.99,$180.84,,,,B093QJKX7S,195907802700,195907802700,B08BN9V242,New Balance,,,V,10248273638414494997
"New Balance Men's 520 V8 Running Shoe, Black/Hot Marigold, 11.5 X-Wide",,,,,$69.95,$69.95,,,,B09XRFZFSK,196432842728,196432842728,B0C8BW5WNS,New Balance,,,V,10272916643017368122
"New Balance Men's 608 V5 Casual Comfort Cross Trainer, White/Black/Silver, 10.5 X-Wide",,,$118.99,,$111.04,$134.43,,,,B07YZRQKDX,194182875461,194182875461,B093XKL7WZ,New Balance,,3rd Party (AF4GO035LHAA2),V,10276106827281618052
Tory Burch Women's Silver Miller Pave Hoops Earrings,3734423,4465036,,,$202.63,$249.71,$198.16,ANZYNJW9IIF9C,1,B09L7Q1B82,1.96E+11,196133084670,,Tory Burch,no,,V,10278618660332990603
"New Balance Men's Fresh Foam Garoe V1 Trail Running Shoe, Kombu/High Desert/Cayenne, 13 X-Wide",,,,,,$89.99,,,,B0BHKRSLPD,196941141428,196941141428,B0CN89BJRL,New Balance,,,V,10288244964785576572
"Cole Haan Women's Piper Mule Loafer, Ocelot Hair Calf Print, 6.5",,,,,$127.42,$336.34,,,,B071HVSY4N,190595584891,190595584891,B0CXHT356C,Cole Haan,,,V,10289844634174029093
"New Balance Men's FuelCell 4040 V6 Metal Baseball Shoe, Team Red/White, 11.5",,,,,$135.90,$144.52,,,,B08PCF3WGP,195481139285,195481139285,B0CLDBYVSX,New Balance,,,V,10292015178856048445
"New Balance Men's FuelCell Propel V3 Running Shoe, Black/White, 11",,,,,$124.99,$147.66,,,,B08MWR6QMP,195481437282,195481437282,B08P38T2V3,New Balance,,,V,10293258839788228861
Cole Haan Generation Zerogrand II Twilight Mauve/Marble 5 B (M),,,$89.00,,$89.00,$162.26,,,,B0B5P78N3C,194736936600,194736936600,B0CBD5JNNP,Cole Haan,,3rd Party (A98JY3EWQYV6X),V,10294390052846884670
"Steve Madden Women's SKYLER-J, LIME, 11",,,,,$37.99,$64.45,,,,B09GWBMC3C,195945725757,195945725757,B0CLCT11FG,Steve Madden,,,V,10295139470698885967
"New Balance Men's Fresh Foam X Vongo V5 Running Shoe, Black/Deep Violet, 10",,,$119.95,,$119.95,$149.95,,,,B08P28J8GC,195481412364,195481412364,B08P39SP11,New Balance,,3rd Party (A28BSLDKMISFAW),V,10300681501554030021
"New Balance Men's 460 V3 Running Shoe, Navy/Team Navy, 7.5 X-Wide",,,,,$89.99,$111.68,,,,B08PCB1M14,195173060309,195173060309,B08PD6YL7J,New Balance,,,V,10306495421054738657
"Steve Madden Women's Maxima Sneaker, Blush Multi Rhinestone, 9",,,$99.95,,$99.95,$99.95,,,,B0C4M5X6N3,197369521366,197369521366,B08YZ1SM97,Steve Madden,,3rd Party (ANZYNJW9IIF9C),V,10318922517378765394
"New Balance Men's Fresh Foam X 1080 V12 Running Shoe, Timberwolf/Turtledove/Mindful Grey, 11.5",,,$159.95,,$159.95,$211.99,,,,B09YC16CGW,196432358366,196432358366,B096NKPSY5,New Balance,,3rd Party (A3KCLKFFWT76LN),V,1032364670808504009
"New Balance Men's 574 Core Sneaker, Black/White, 12 Wide",2156,2435,,,$99.95,$184.24,$154.59,ANZYNJW9IIF9C,1,B093QKK57K,1.96E+11,195907803592,B08BN9V242,New Balance,yes,,V,10324118428245082833
"New Balance 4040 V7 Rubber-Molded Baseball Shoe, Team Royal/Optic White, 6 US Unisex Big Kid",,,$54.94,,$49.95,$107.48,,,,B0C34CDX1P,196941413402,196941413402,B0BJ83MLFN,New Balance,,3rd Party (ALLJVGSMAI6TI),V,1033236434189658126
"Steve Madden Women's Maxima Sneaker, Blush Multi, 8",,,$99.95,,$98.95,$114.26,,,,B08SKJSL36,195189921786,195189921786,B08YZ1SM97,Steve Madden,,3rd Party (A1LEM297LNF1FK),V,10333786183023671979
"New Balance Women's 515 V3 Sneaker, Washed Burgundy/White, 9",,,$80.52,,$74.52,$106.76,,,,B0BJ7HT1C7,196941334264,196941334264,B0B5NR1Z2V,New Balance,,3rd Party (AZWO9NCDQEAXA),V,10334017163027093590
"New Balance Men's Made in US 990 V5 Sneaker, Black/Silver, 10",,,,,$265.32,$345.29,,,,B07C7N97SK,192662912125,192662912125,B07H2T76RK,New Balance,,,V,10334103368270649826
"New Balance Men's Fresh Foam X 3000 V6 Metal Baseball Shoe, White/White, 11.5",,,$109.98,,$94.98,$140.46,,,,B09YBH7XMS,196307393096,196307393096,B0CSK8299J,New Balance,,3rd Party (A1YSV4FL7WKBZC),V,10336893090603975809
"New Balance Men's Fresh Foam X Hierro V7 Running Shoe, Purple, 7.5 Wide",,,$139.99,,$139.99,$139.99,,,,B09XK7GZDT,195907623060,195907623060,B0CLDCBKLP,New Balance,,3rd Party (A3SM1R0UB3MXAD),V,10336898285823833929
"New Balance Men's 237 V1 Sneaker, Incense/Bone/Team Royal, 10",,,,,$82.00,$160.00,,,,B09H3F7KBM,195481237042,195481237042,B0BHMR9X78,New Balance,,,V,10344554147628454558
"New Balance Men's Fresh Foam X 860 V12 Running Shoe, Light Aluminum/Deep Violet, 11 W",,,,,,$243.29,,,,B096WDD8WB,195481440435,195481440435,B0B9BRT7LY,New Balance,,,V,10348837461778921907
"Cole Haan Men's Grandpro Topspin Sneaker Loafer, Black/Silver Birch, 8 Wide",,,,,,$161.60,,,,B0BQ5SRKBH,196414085433,196414085433,B08X3PZWSV,Cole Haan,,,V,10355292904874133163
"New Balance Women's Fresh Foam X More Trail V3 Running Shoe, Interstellar/Shadow, 7",,,,,$250.26,$259.90,,,,B0BJ7HJ5ZG,196652791240,196652791240,B0CYCV4764,New Balance,,,V,10365673020350205601
"Steve Madden Women's Blossoms Ballet Flat, Black Leather, 6.5",,,,,,$69.95,,,,B0BDV81GMH,196361854250,196361854250,B0CFGFLVZ9,Steve Madden,,,V,10384381605485080741
"Steve Madden Women's Gills Sneaker, White, 10",,,$24.99,,$24.99,$81.95,,,,B0BDTLC5X2,195945955536,195945955536,B07TB1RRK7,Steve Madden,,3rd Party (A24V851RG6UNB7),V,10384602935000303686
"Steve Madden Women's Skyler Flat Sandal, Clear Multi, 6",,,,,$92.32,$114.98,,,,B092DJJP41,195945233405,195945233405,B0CLCT11FG,Steve Madden,,,V,10392746239089093435
"New Balance Unisex-Adult BB480 V1 Sneaker, White/Marine Blue, 9.5",,,,,$125.63,$152.18,,,,B0BJ7HHBF2,196652946886,196652946886,B09YB6J65L,New Balance,,,V,10394137848957308629
New Balance Fresh Foam X 1080v12 Running Shoe Womens Running 75 BM US Blackgreen,,,,,,$284.05,,,,B0BF5QCM2H,196307474726,196307474726,B096NKR8NM,New Balance,,,V,1040336640527268013
"New Balance mens 840 V5 Running Shoe, Black/Horizon, 9.5 Wide US",,,,,,$290.05,,,,B08PCDJRX9,195481405731,195481405731,B08PDFZSDP,New Balance,,,V,10403539375391124181
"Cole Haan Men's Grandpro Topspin Sneaker Loafer, British Tan/Egret, 8",,,$134.10,,$128.10,$234.99,,,,B0BQ5JS6VH,196414086270,196414086270,B08X3PZWSV,Cole Haan,,3rd Party (A17L2J3C9PJDZ),V,10405720752438673523
Kate Spade New York Bridal Bow Ivory Satin 7 M,1175193,950438,,,$337.18,$342.99,$337.18,ANZYNJW9IIF9C,1,B08591HCMY,6.59E+11,659464827342,B08599W3X4,Kate Spade New York,no,,V,10405810053637860006
Men's New Balance Fresh Foam X More v4,,,$149.97,,$139.97,$259.52,,,,B0BT267VB8,196432357826,196432357826,B0CZS3SHBH,New Balance,,3rd Party (A2VL3YITKK4LY5),V,10434399591515713112
"New Balance Men's 410 V7 Running Shoe, Black/Grey/Orange, 15 X-Wide",,,,,$90.00,$129.00,,,,B093QLCKM1,195907673836,195907673836,B088PRF7P4,New Balance,,,V,10440734675556353124
New Balance Men's Fresh Foam X 880v13 Running Shoe Nb Navy/Heritage Blue 14,,,$150.00,,$150.00,$243.34,,,,B0BSLXKFK3,196432354924,196432354924,,New Balance,,3rd Party (A3M484NSVT9LIL),V,10445291615801956907
"Buffalo David Bitton Men's Slim Ash Jeans, Dark and Sanded Black, 32W x 32L",19354,19648,,,$126.37,$126.37,$126.37,ANZYNJW9IIF9C,1,B08Q8R8VZM,1.94E+11,193851724260,B0BNYJZYZD,Buffalo David Bitton,yes,,V,10451480023658095546
Tory Burch Eleanor Slide New Cream 8 M,1342528,1246824,$320.55,1,$320.55,$322.62,$320.55,ANZYNJW9IIF9C,1,B09PHP2G7L,1.96E+11,196133126530,B09ZCB9HKB,Tory Burch,no,,V,10467424308593082594
"New Balance Men's 515 V3 Classic Sneaker, Black/Nb White, 10 X-Wide",,,$79.95,,$74.88,$74.95,,,,B09K4PCN3L,195481134846,195481134846,B0CQKB9FDX,New Balance,,3rd Party (A1Q1PHSVIGZBP8),V,10477215230652642685
"Cole Haan Men's Grandpro Crossover Sneaker, Optic White/Optic White, 9.5 Wide",,,,,,$271.90,,,,B09Y4BKT37,194736901479,194736901479,B0B3N2P6S1,Cole Haan,,,V,10479153330700902153
"Cole Haan Men's 2.Zerogrand Laser Wingtip Oxford Lined, Dune Nubuck/Gold Fusion/Ivory, 14",,,$169.18,,$161.23,$210.18,,,,B0BFCWT1BT,196414214505,196414214505,B073P9QBK3,Cole Haan,,3rd Party (A39WWGXFOLEB1L),V,10480344553320864376
"New Balance Women's Fresh Foam X 880 V13, Blue/Green Aura/Silver Metalic",,,,,$175.79,$183.18,,,,B0BSVG38DS,196432349944,196432349944,B0D1YPV4XM,New Balance,,,V,10481119283328608052
"New Balance Women's 410 V8 Trail Running Shoe, Grey Matter/Marine Blue/Scorpio, 7 Wide",,,,,$66.95,$86.77,,,,B0BJ7KZ6YT,196941220727,196941220727,B0BJ8335ZM,New Balance,,,V,10482737479149798251
"New Balance Men's 460 V3 Running Shoe, Grey/Black, 8.5",,,,,$54.52,$140.74,,,,B08PCD8VNP,195481298302,195481298302,B08PD6YL7J,New Balance,,,V,10484538336448401331
"New Balance Men's Fresh Foam X 1080 V12 Running Shoe, Timberwolf/Turtledove/Mindful Grey, 13",,,$159.95,,$159.95,$159.99,,,,B09YBR9M3W,196432358397,196432358397,B096NKPSY5,New Balance,,3rd Party (A3KCLKFFWT76LN),V,1048715796488452391
"New Balance Women's FuelCore Nergize Sport V1 Sneaker, Black/White, 8",,,,,,$109.00,,,,B07RMNHVJX,194182206401,194182206401,B0C7LWK3HG,New Balance,,,V,10492058993911767018
"New Balance Women's 410 V8 Trail Running Shoe, Grey Matter/Marine Blue/Scorpio, 7.5 Wide",,,,,$67.45,$86.77,,,,B0BJ7N8YB8,196941220734,196941220734,B0BJ8335ZM,New Balance,,,V,10492595929136138003
"New Balance Women's DynaSoft Pro Run V2 Shoe, Black/Blacktop/Pink Moon, 9 Wide",,,$69.96,,$55.01,$135.00,,,,B0BHL1PG83,196652989579,196652989579,B0C62X663Z,New Balance,,3rd Party (A1L771VVVO0RJK),V,10505148527637812806
"New Balance Women's Fresh Foam X 860 V13, White/Light Aluminum/Light Gold Metallic, 8 Wide",,,,,$234.68,$243.85,,,,B0BB338LB1,196307625104,196307625104,B0CYY2LT69,New Balance,,,V,10505859065592655063
"New Balance Men's FuelCell 4040 V6 Metal Baseball Shoe, White/Black, 9",,,,,$125.39,$216.39,,,,B08PCD14TS,195481136772,195481136772,B0CLDBYVSX,New Balance,,,V,10509720091721379969
"New Balance Men's 410 V7 Running Shoe, Black, 8",,,,,$109.00,$109.00,,,,B08P27GPV4,195481649920,195481649920,B088PRF7P4,New Balance,,,V,10512899213603631690
"New Balance Men's 200 V1 Slide Sandal, White/Black, 12",,,,,$54.99,$87.35,,,,B07DVMWGCG,192983408406,192983408406,B09QSNR38P,New Balance,,,V,1051970004041262576
"New Balance Women's Fresh Foam 880 V13 Running Shoe, Light Arctic Grey/Arctic Grey/Light Silver Metallic, 6.5 Wide",,,,,,$205.72,,,,B0BRKNRHHH,196432348732,196432348732,B0CTWDCB5Y,New Balance,,,V,10525088469542951992
"New Balance Men's 410 V8 Trail Running Shoe, Castlerock/Black/Varsity Gold, 9",,,,,$89.99,$115.06,,,,B0BJ7NTY6Z,196941165257,196941165257,B0BJ84GK32,New Balance,,,V,10527775408761890034
"New Balance 306 - Jamie Foy Sea Salt/White US Men's 11, Women's 12.5 Medium",,,$87.95,,$87.95,$90.00,,,,B0CN33H25D,197375672793,197375672793,B08ZQK4Y39,New Balance,,3rd Party (A1XKK94ISE43TH),V,10533968405673536267
"New Balance Men's Fresh Foam X 860 V12 Running Shoe, White/Helium, 12 M",,,$125.90,,$119.95,$134.95,,,,B096WJYH74,195481466725,195481466725,B0B9BRT7LY,New Balance,,3rd Party (A2KBJ0KLRTKV0Y),V,10538252536003298770
"Steve Madden Roselita Cognac Cork Lightweight Ankle Strap Platform Wedge Sandals (Cognac Leather, 9.5)",,,$59.95,,$59.95,$99.99,,,,B08X9Y2VS6,194068495684,194068495684,B0855GBCJ3,Steve Madden,,3rd Party (A1G9RBEK6CB71F),V,10540648664233601322
