Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Black_list,PID
"Nike Men's Air Force 1 '07 PRM shoe, Habanero Red/Light Curry/Cocon, 9",8167,7487,186.95,6,186.95,$243.20,$186.95,A1PKYT90J02XDY,2,B09W5HWXCX,195870935764,195870935764,B0C39HGVRT,Nike,no,V,9469818002813295861
Nike Hydrastrong Solid Cut-Out One Piece,106332,88785,46.95,5,42,$76.80,$46.95,A3V1BO3WFJIOCU,5,B083TLSP2W,30673192344,30673192344,B08Y5918P7,Nike,no,V,9468109012363928441
"Nike Men's Sneaker, Black Univ Red Anthracite, 8.5",8092,11836,104.99,6,104.99,$130.00,$104.99,A1RIIAX5ON26EB,1,B098PBWFKV,195242835593,195242835593,B0CPTHHGK5,Nike,no,V,9462950229725162578
Nike Women's NSW Fleece Hoodie Full Zip Varsity,90300,81035,106.07,2,98.12,$137.80,$99.98,AF4GO035LHAA2,4,B0BRBB56W9,196153346741,196153346741,B0CPT924C8,Nike,no,V,9461750483510717188
Nike Solid Element Swim Boardskirt Black SM,527210,483557,51.87,1,51.87,$56.71,$51.73,A218NCVVSLQN1Q,1,B07KPM99HP,756998784278,756998784278,B081FHT7G9,Nike,no,V,9453036783538222572
"Nike Sabrina 1 (Team) Basketball Shoes (FQ3391-002, Black/Black/White) Size 7.5",370046,396880,132.65,86,123.66,$160.88,$147.08,A3A8U7NR8EYN0G,9,B0CV4JZ5MR,196609466931,196609466931,B0CHC8652H,Nike,no,V,9451844574405258011
Jordan 1 Low Alt Little Kids Shoes White/Royal Blue-Black-White DR9748 140 - Size 3y,435898,764551,87.17,6,87.17,$100.00,$89.09,"A3NHPJDQF2LPC5, A3S897FBSOV5UF",4,B0CQZJHQC3,196969266486,196969266486,B0CQZHPXF4,Nike,no,V,9447966428557174449
"Nike mens Lebron 9 Low Lebonald Palmer 2022 Limited Edition, Lime/Green/Sunset, 10",455110,432904,153,4,152,$269.95,$155.21,A1SJ83JM1A9B3L,7,B09VXX5V6Q,195244797837,195244797837,B09XBSY23M,Nike,no,V,9446571479930844674
"Nike kids Flex Runner 2 shoes, Bright Crimson/Sail-red Clay, 12 Little Kid",5297,4792,55,2,55,$94.01,$75.41,"AT64G8NTOQ26L, A239ZBAQGRKNL8",3,B0B6FP994J,196149617336,196149617336,B0CPTDDR9W,Nike,no,V,9444695360458008243
"Nike Court Legacy Mens Trainers CU4150 Sneakers Shoes (UK 5.5 US 6 EU 38.5, Black Whtie Gum Light Brown 002)",35329,205536,112.56,12,102.61,$114.44,$114.75,APCM2IAZNI39J,2,B0B5F8S3NC,194501532617,194501532617,B0CPTG2YKC,Nike,no,V,9439708887831685995
