Title,Buy Box: Current,Amazon: Current,New: Current,New: Highest,"New, 3rd Party FBM 🚚: Current",eBay Used 🚚: Current,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC
"Champion Women's The Authentic Sports Bra, Enchanted Lilac, Small",$19.46 ,,$19.46 ,$32.81 ,$19.46 ,,2,B08CGF6NB6,077478943382,077478943382
"Champion Women's The Authentic Sports Bra, Enchanted Lilac, X-Small",$29.51 ,,$25.61 ,$30.00 ,$29.51 ,,1,B08CGM2RBJ,077478943375,077478943375
"Champion Women's The Authentic Sports Bra, Multi Scattered Logos Oxford Grey Heather, Small",,,,$29.99 ,,,,B08CGNV8VQ,077478929942,077478929942
"Champion Women's The Cropped Tee, Fantastic Fuchsia, X- Large",$13.49 ,,$13.49 ,$25.00 ,$13.49 ,,1,B08CPW1SB1,077478917543,077478917543
"Champion Women's The Cropped Tee, Fantastic Fuchsia, X- Small",$18.99 ,,$18.99 ,$25.00 ,$18.99 ,,1,B08CPP5VJK,077478917505,077478917505
"Champion Boys' Jersey Pocket Short, Charcoal Heather, X-Large",$18.50 ,,$18.50 ,$18.50 ,,,1,B095Z464BP,077478895179,077478895179
"Champion Boys' Jersey Pocket Short, Black, X-Large",$18.50 ,,$18.50 ,$18.50 ,,,1,B095Z1XTWC,077478895131,077478895131
"Champion Men's T-Shirt, Men's Crewneck Cotton Tee, Men's Mid-Weight T-Shirt",$18.97 ,,$18.97 ,$30.00 ,$18.97 ,,1,B08BX5V3NJ,077478894004,077478894004
"Champion Men's Packable Jacket-AOP, Off The Grid Green Plaid, Small",,,,$75.00 ,,,,B08C24DQB9,077478864410,077478864410
"Champion Men's Heritage Tee, Script Logo, Lemon Glacier-Y08254, Small",$25.00 ,,$25.00 ,$25.00 ,$25.00 ,,1,B08BMK1P5V,077478863406,077478863406
"Champion Men's 10 Inch Reverse Weave Cut-Off Shorts, Guava Pink, Medium",$30.00 ,,$20.00 ,$58.30 ,,,3,B08BMF5LDH,077478858907,077478858907
"Champion Men's 10 Inch Reverse Weave Cut-Off Shorts, Siesta Pink, Large",,,,$80.89 ,,,,B08BMRB6Z1,077478858709,077478858709
"Champion Men's 10 Inch Reverse Weave Cut-Off Shorts, Blue Jay, X- Small",$39.99 ,,$39.99 ,$45.00 ,,,1,B08BMWHKDH,077478858600,077478858600
"Champion T-Shirt, Classic Unisex Cotton T-Shirt, ""C"" Logo, Regular Fit Crewneck Tee, ""C"" Logo, Classic Cotton ""C"" Logo Tee",$19.99 ,,$19.99 ,$19.99 ,$19.99 ,,1,B08BX51FP7,077478858365,077478858365
Champion Coach's Jacket 3XL Graphite,$52.23 ,,$52.23 ,$56.71 ,,,12,B08L27XNBF,077478819700,077478819700
Champion Coach's Jacket 2XL Graphite,,,$53.96 ,$67.00 ,,,11,B08L21G69B,077478819694,077478819694
Champion Packable Quarter-Zip Jacket L White,$29.57 ,,$29.02 ,$44.52 ,,,11,B08GHWLHFJ,077478817515,077478817515
Champion Packable Quarter-Zip Jacket L Purple,$28.33 ,,$28.33 ,$44.52 ,,,11,B08GHWZYJC,077478817454,077478817454
