Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),PID,Black_list
Tommy Hilfiger Cologne Spray 3.4 OzTester By Tommy Hilfiger SKU-PAS963545,926497,917330,$92.87,1,$92.87,$106.09,$92.98,-,1,B008GQDBYW,"0086009635450, 0022548204511","086009635450, 022548204511",,Tommy Hilfiger,no,none,Y
Lacoste L-Guard Brkr CT 223 1 SMA Black/Dark Grey 10.5 M,1119926,1117323,$104.99,2,$104.99,$130.35,$128.19,AM3NWFGAU67D,1,B0CH4T86CN,196224282350,1.96E+11,B0CV1FVSZC,Lacoste,no,none,Y
"Tommy Hilfiger mens Long Sleeve in Classic Fit Polo Shirt, Sky Captain-pt, XX-Large US",814164,754511,,,$79.99,$79.99,$79.99,A3IX9KRU50AS45,1,B098KWSRLL,89467774792,89467774792,B0CLSRH4KT,Tommy Hilfiger,yes,none,Y
"Tommy Hilfiger Women's Braia Sneaker, White, 10",977369,962527,$51.75,,$51.75,$62.10,,-,0,B0CMX5LMMD,197648454347,1.98E+11,B0CMX6PG5Z,Tommy Hilfiger,yes,none,Y
"Free People Women's Clover Skirt, Dried Indigo",484630,449865,,,,$108.00,$189.63,-,,B0CQRQTW7T,197785253759,1.98E+11,B0CQRDRHV3,Free People,yes,none,Y
"Tommy Hilfiger Men's Labbin Sneaker, Black/Gum Multi, 11",862914,899274,$53.96,,$53.96,$53.96,,-,0,B0CPYK8CF3,198095583369,1.98E+11,B0CPYV2DXV,Tommy Hilfiger,yes,none,Y
"Tommy Hilfiger Denim Men's Essential Cotton Short Sleeved Henley T-Shirt (White, 2XL)",651890,679729,$39.97,,$39.97,$39.97,,-,0,B08SJFSJ53,883849215541,8.84E+11,B0C7C4RPJ6,Tommy Hilfiger,yes,none,Y
"Tommy Hilfiger Denim Men's Essential Cotton Short Sleeved Henley T-Shirt (Black, M)",682245,687901,$39.97,,$39.97,$39.97,,-,0,B08SHVLKHY,883849215442,8.84E+11,B0C7C4RPJ6,Tommy Hilfiger,yes,none,Y
"Tommy Hilfiger Denim Men's Essential Cotton Short Sleeved Henley T-Shirt (Grey, XS)",591916,605117,$39.97,,$39.97,$39.97,,-,0,B08SJ358YJ,883849219303,8.84E+11,B0C7C4RPJ6,Tommy Hilfiger,yes,none,Y
"Tommy Hilfiger Denim Men's Essential Cotton Short Sleeved Henley T-Shirt (Black, 2XL)",709277,654630,$39.97,,$39.97,$39.97,,-,0,B08SJ7H1M6,883849215473,8.84E+11,B0C7C4RPJ6,Tommy Hilfiger,yes,none,Y
"Tommy Hilfiger Denim Men's Essential Cotton Short Sleeved Henley T-Shirt (White, L)",538864,635902,$39.97,,$39.97,$39.97,,-,0,B08SHXT538,883849215527,8.84E+11,B0C7C4RPJ6,Tommy Hilfiger,yes,none,Y
"Tommy Hilfiger Sleeveless Blouse – Business Casual Women’s Tops with Knotted Neckline, Midnight 01/Midnight, X-Small",828714,573925,,,$55.35,$110.91,$55.35,A20FLYA0IW2L9O,1,B082V1JSBH,883849215527,1.91E+11,B082V2HBF1,Tommy Hilfiger,no,none,Y
"Lacoste Women's L-Spin Sneaker, LT BRW/Burg, 8",576949,494123,$109.98,1,$109.98,$113.95,$109.98,A19YF9ARFJN5WK,1,B09PZGR32F,196224031804,1.96E+11,B0C6GT8K3X,Lacoste,no,none,Y
