"Title","Sales Rank: 30 days avg.","Sales Rank: 90 days avg.","Buy Box 🚚: Current","Buy Box 🚚: Stock","New: Current","New, 3rd Party FBM 🚚: 30 days avg.","Lowest FBM Seller","Count of retrieved live offers: New, FBM","ASIN","Product Codes: EAN","Product Codes: UPC","Parent ASIN","Brand","Prime Eligible (Buy Box)"
"Columbia Women's Bugaboo Omni Heat Pant, Neon Sunrise, Medium","210873","92549","","","","","-","","B09KN6C9RQ","0194895626817","194895626817","B07J57YGSL","Columbia","yes"
"Columbia Men's Terminal Tackle PFG Fish Flag LS, Red Jasper/White Bass Lures, Large","612411","601224","$ 44.99","1","$ 44.99","$ 44.99","A2FJTNLI0LJNSZ","1","B09KNWSRTD","0194895633471","194895633471","B0CTJ6K5B4","Columbia","no"
"Columbia Women's Iceventure Bib, Black, X-Small","667358","576244","$ 132.40","2","$ 123.90","$ 143.59","A1QH0GIGON2008","1","B09KMZHX3L","0194895635130","194895635130","B09KN9JG21","Columbia","no"
"Columbia Women's Ali Peak Fleece Tunic, Warm Copper Terrain Print, Large","619806","453508","","","","$ 112.71","-","","B09KMMPZYH","0194895651444","194895651444","B0CT4PLWLG","Columbia","no"
"Columbia Women's Ali Peak Fleece Tunic, Marionberry Terrain Print, Medium","682404","537503","","","$ 90.00","$ 90.00","A15RYD29VNV8D1","1","B09KMKX85J","0194895651536","194895651536","B0CT4PLWLG","Columbia","yes"
"Columbia Women's Back Beauty Passo Alto II Heat Pant, Black, Medium","886648","828487","","","","$ 87.74","-","","B09KMYYTQH","0194895652021","194895652021","B09KNBZN7P","Columbia","no"
"Columbia Women's Anytime Casual Skort, Dark Sapphire, Large","41548","36570","$ 44.90","1","$ 44.49","$ 44.99","AM6N2HFGPSJN8","1","B09KS98RQP","0194895662532","194895662532","B0CZLH4H29","Columbia","yes"
"Columbia Women's Anytime Casual Skort, Dark Sapphire, X-Large","42373","40913","$ 45.47","3","$ 45.47","$ 54.78","A3LYWQ7B7E7Z2","1","B09KS8ZX6L","0194895662549","194895662549","B0CZLH4H29","Columbia","yes"
"Columbia Youth Girls Rain-Zilla Jacket, Pink Orchid/Columbia Grey, XX-Small","388064","289430","$ 43.60","2","$ 43.60","$ 51.42","-","2","B09KMD7GCF","0194895677376","194895677376","B0B198GLBD","Columbia","no"
"Columbia Youth Girls Rain-Zilla Jacket, Pink Orchid/Columbia Grey, X-Large","392346","292254","","","","","-","","B09KMG7CR5","0194895677413","194895677413","B0B198GLBD","Columbia","yes"
"Columbia Toddler Girls Rain-Zilla Jacket, Grape Gum/Paisley Purple, 4T","37058","93950","","","$ 65.00","$ 65.00","A15KSQ8GBEWJ3O","1","B09KMF1D7N","0194895677697","194895677697","B0B5FHMTTN","Columbia","yes"
"Columbia Youth Boys Mighty Mogul II Jacket, Bright Indigo/Collegiate Navy, Large","688784","552423","$ 142.61","1","$ 142.61","$ 143.58","A1B43WMIJ58I3U","2","B09KMDZSQ7","0194895680079","194895680079","B08N1GJL6Q","Columbia","no"
"Columbia Youth Boys Mighty Mogul II Jacket, Bright Indigo/Collegiate Navy, Medium","699851","559409","$ 142.61","1","$ 142.61","$ 143.81","A1B43WMIJ58I3U","2","B09KM9N5TL","0194895680086","194895680086","B08N1GJL6Q","Columbia","no"
"Columbia Men's Whirlibird II Glove, Black, Large","965482","650165","","","","","-","","B09KS86WJV","0194895682004","194895682004","B0CTJ7YNMQ","Columbia","no"
"Columbia Men's Sweater Weather Half Zip, Warm Copper, Large","259361","259381","","","","","-","","B09KMQ1B2H","0194895687580","194895687580","B09XB5BZJ1","Columbia","yes"
"Columbia Men's Sweater Weather Half Zip, Metal, Large","253746","282105","","","","","-","","B09KMMLF5S","0194895689034","194895689034","B09XB5BZJ1","Columbia","no"
"Columbia Men's Sweater Weather Half Zip, Metal, Small","257718","258392","","","","","-","","B09KMMZZKG","0194895689058","194895689058","B09XB5BZJ1","Columbia","yes"
"Columbia Women's Suttle Mountain Long Insulated Jacket, Dark Sapphire, Medium","69506","37885","","","$ 180.02","$ 211.29","A3COONFZWSNRYJ","1","B09KMFZSQ4","0194895689935","194895689935","B07J9KFGD2","Columbia","yes"
"Columbia Men's Sweater Weather Half Zip, Spruce Heather/Spruce, Medium","272987","238126","$ 76.50","1","$ 72.00","$ 76.50","A3LYWQ7B7E7Z2","1","B09KMN5Y6R","0194895690382","194895690382","B09XB5BZJ1","Columbia","no"
"Columbia Men's Sweater Weather Half Zip, Spruce Heather/Spruce, XX-Large","252963","208871","$ 79.50","3","$ 75.00","$ 79.81","A3LYWQ7B7E7Z2","2","B09KMN5J9F","0194895690610","194895690610","B09XB5BZJ1","Columbia","no"
"Columbia Men's Sweater Weather Half Zip, Spruce Heather/Spruce, Large","259705","253261","$ 49.50","","$ 45.00","$ 73.49","A3LYWQ7B7E7Z2","1","B09KMNP833","0194895690627","194895690627","B09XB5BZJ1","Columbia","no"
"Columbia Men's Pine Peak Waffle Hoodie, Collegiate Navy Heather, XX-Large","689170","571667","$ 75.00","5","$ 75.00","$ 75.00","A15KSQ8GBEWJ3O","1","B09KP1NW7W","0194895692218","194895692218","B0CTS47BH6","Columbia","no"
"Columbia Men's Pine Peak Waffle Hoodie, Collegiate Navy Heather, Large","732934","589223","","","","$ 69.50","-","","B09KP1XFCV","0194895692225","194895692225","B0CTS47BH6","Columbia","no"
"Columbia Women's Lake 22 Down Long Hooded Jacket, Marionberry, Medium","388777","326824","","","$ 197.00","$ 239.67","-","1","B09KMGX6FH","0194895695509","194895695509","B09KMXD5TJ","Columbia","no"
"Columbia Youth Unisex Pike Lake Jacket, Dark Sapphire/Spring Blue, X-Large","828155","770295","$ 107.74","1","$ 107.74","$ 109.40","-","2","B09KMC34SN","0194895696254","194895696254","B0814BW23Q","Columbia","no"
"Columbia Women's Back Beauty Highrise Warm Winter Pant, Nocturnal, Large","579449","451166","","","","$ 88.49","-","","B09KMYYTQM","0194895698975","194895698975","B07K8LX94S","Columbia","yes"
"Columbia Men's Timberturner II Jacket, Delta/Black/Laser Lemon, Large","456341","331042","$ 144.88","2","$ 144.88","$ 157.52","ACW9PC6I3NHVB","2","B09KMC9SCT","0194895704683","194895704683","B09KMVMXSZ","Columbia","no"
"Columbia Youth Boys Glennaker Rain Jacket, Metal/Shark, Medium","1322","1158","","","","","-","","B09KMG4KSS","0194895706892","194895706892","B071GW9WXZ","Columbia","no"
"Columbia Youth Boys Glennaker Rain Jacket, Delta/Shark, XX-Small","1331","1187","","","","","-","","B09KMFVHX3","0194895707271","194895707271","B071GW9WXZ","Columbia","no"
"Columbia Youth Boys Winter Powder II Quilted Jacket, City Grey Heather/Black, X-Large","871886","689711","","","$ 163.82","$ 164.71","A1B43WMIJ58I3U","2","B09KMG7XBC","0194895708094","194895708094","B0BLZQ3BGZ","Columbia","yes"
"Columbia Youth Boys Winter Powder II Quilted Jacket, City Grey Heather/Black, X-Small","861671","670797","","","$ 165.82","$ 165.82","AUZHYMZYT39ZN","1","B09KMCFFQ6","0194895708315","194895708315","B0BLZQ3BGZ","Columbia","yes"
"Columbia Men's Trek Hoodie, Collegiate Navy/CSC Sleeve Logo, 5X Big","83094","66602","","","","$ 76.99","-","","B09KML98LY","0194895709053","194895709053","B0B6D4FLNL","Columbia","yes"
"Columbia Men's Collegiate Lodge Fleece Hoodie, Ms - Spruce/White/Columbia Grey, X-Large","977253","808973","$ 112.04","","$ 104.05","","-","1","B09KMNRKPF","0194895712145","194895712145","B0CTJ56F7Z","Columbia","no"
"Columbia Men's Silver Ridge Utility Lite Long Sleeve, Stone Green, Small","51989","67078","$ 59.99","2","$ 59.99","$ 59.99","AU8KF031TC39C","1","B09KNXS1K1","0194895717164","194895717164","B09KPD988L","Columbia","no"
"Columbia Men's Trek Hoodie, White/CSC Sleeve Logo, Small","83989","67900","$ 44.72","1","$ 39.99","$ 44.72","A2OLOGJV257E78","1","B09KMNBXD8","0194895717546","194895717546","B0B6D4FLNL","Columbia","no"
"Columbia Youth Girls Bella Plush Jacket, Black, X-Small","496169","354939","","","$ 37.49","$ 70.78","AU8KF031TC39C","2","B09KMDQVNT","0194895719397","194895719397","B0CTTM97C1","Columbia","yes"
"Columbia Baby Zing III Fleece, Metal Checkpoint, 12/18","614443","539782","$ 49.99","1","$ 49.99","$ 49.99","AEDK4QV8DNUNX","1","B09KMKJ3FL","0194895722144","194895722144","B0B1QQWS6V","Columbia","no"
"Columbia Men's Montrail Trinity Ag Trail Running Shoe, Black/White, 10","690754","696876","$ 130.00","1","$ 120.02","$ 130.00","A20DWJ220BE4A3","1","B09K2NN44R","0194895736172","194895736172","B096TGKFJP","Columbia","no"
"Columbia Men's Montrail Trinity Ag Trail Running Shoe, Black/White, 9","693958","661087","","","$ 132.03","$ 133.04","AP3VA1GJZM3EQ","2","B09K2VG2RP","0194895736295","194895736295","B096TGKFJP","Columbia","no"
"Columbia Men's Montrail Trinity Ag Trail Running Shoe, Black/White, 9.5","720524","690641","","","$ 120.02","$ 130.00","A20DWJ220BE4A3","1","B09K2KCS73","0194895736301","194895736301","B096TGKFJP","Columbia","no"
"Columbia Men's Bahama Vent PFG Boat Shoe, Mud/Island Orange, 11.5","23476","24760","$ 66.49","1","$ 66.49","$ 66.49","A2QTRHBRU2XAZC, A3VV8T2RU7849L","2","B09K2FSWRP","0194895737513","194895737513","B08S158ZGP","Columbia","no"
"Columbia Women's Trailstorm Waterproof Hiking Shoe, Dark Sapphire/Wild Fuchsia, 7 M US","204231","182394","","","","","-","","B09K2PW9QZ","0194895737742","194895737742","B07W8ZVDKM","Columbia","yes"
"Columbia Women's Trailstorm Mid Waterproof, Black/White, 6","117384","99502","$ 69.78","","$ 69.78","$ 106.08","A20O9LUC2WFY7S","1","B09K2F4FRJ","0194895739159","194895739159","B089F9T95M","Columbia","yes"
"Columbia Women's Newton Ridge Plus Omni Heat Hiking Boot, Dark Nocturnal/Red Onion, 11 M US","235011","159761","","","$ 109.00","$ 113.50","A3LYWQ7B7E7Z2","1","B09K29JYTQ","0194895739906","194895739906","B0C6YQ44PT","Columbia","yes"
"Columbia Women's Newton Ridge Plus Omni Heat Hiking Boot, Wet Sand/Sea Wave, 10 M US","240530","161593","$ 69.01","1","$ 69.01","$ 159.82","A1B43WMIJ58I3U","2","B09K2HNVZ8","0194895740049","194895740049","B0C6YQ44PT","Columbia","yes"
"Columbia Women's Newton Ridge Plus, Black/Golden Yellow, 6","3883","3064","$ 62.99","1","$ 62.99","$ 94.98","A1DY586QNIG1RC","1","B09K27PYHZ","0194895740520","194895740520","B0C1582KYJ","Columbia","yes"
"Columbia Women's Newton Ridge Plus, Black/Golden Yellow, 12","3927","3062","$ 84.00","1","$ 84.00","","-","0","B09K2B2WWC","0194895740810","194895740810","B0C1582KYJ","Columbia","yes"
"Columbia womens Crestwood Mid Waterproof Boot Hiking Shoe, New Olive, 11 Wide US","25286","24477","","","","$ 147.61","-","","B09K2HMM1X","0194895741442","194895741442","B0CP83YZ3T","Columbia","yes"
"Columbia Men's Plateau Waterproof Hiking Shoe, Bison Brown/Warm Copper, 11.5 Wide","36071","31516","","","","","-","","B09K2QHWPB","0194895743026","194895743026","B09QQVHB35","Columbia","yes"
"Columbia Men's Facet 60 Outdry, Warm Copper/Black, 9.5","245372","302793","","","","","-","","B09K2FSPND","0194895747512","194895747512","B09TBZT5WX","Columbia","yes"
"Columbia womens Omni Heat Lazy Bend Moc Snow Boot, Black/White, 8 US","764565","682161","","","$ 43.17","$ 64.00","A2HGWKGRZLYH2G","1","B09K2M2DPK","0194895747864","194895747864","B0CTRJ9QK1","Columbia","yes"
"Columbia Women's Crestwood Waterproof, Graphite/Wild Iris, 6","18702","19906","$ 98.88","1000","$ 98.88","$ 97.31","AP3VA1GJZM3EQ","1","B09K2CJPC9","0194895750314","194895750314","B0CPCBBK6M","Columbia","no"
"Columbia Women's Crestwood Waterproof, Graphite/Wild Iris, 6.5","18392","19996","","","","","-","","B09K29K9QC","0194895750321","194895750321","B0CPCBBK6M","Columbia","yes"
