Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,New: Highest,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),PID,Black_list
"Tory Burch Women's Miller Cloud Sandals, Crisp Blue/Natural, 8.5 Medium US",41671,67220,$264.25,1,$248.00,$268.00,$263.72,A22XJXTXTCFKGS,1,B09HRC291Y,196133023181,196133023181,B08ZHLS235,Tory Burch,no,9173425460827660532,V
"Laura Mercier Smooth Finish Foundation Powder 07 for Women, 0.3 Ounce",384001,531332,$43.53,69,$43.53,$104.55,$43.53,A3LFHO1PH4QTQM,2,B00E1GKJL4,736150102515,736150102515,,Laura Mercier,no,9148944025514103580,V
Kate Spade New York Lets Dance Heel Silver 10 M,1013022,2432169,,,$268.45,$268.45,$222.47,ANZYNJW9IIF9C,1,B0CFV29DM4,196021343247,196021343247,B0CNL1X3LL,Kate Spade New York,no,9144825086831779159,V
Tory Burch Mini Miller Jelly Thong Sandal Citrus/Citrus 6 M,2098968,1549979,,,,$142.49,$141.62,-,,B09Y2ZPNVX,196133325285,196133325285,B09ZCTDVL7,Tory Burch,no,9134741329235754560,V
TYR VZNCB6A324 Venzo Genesis Closed Back Onyx 24,963603,909837,$299.99,1,$299.99,$549.99,$299.99,A218NCVVSLQN1Q,1,B07N8KX5TV,36702743532,36702743532,B0CGMXZKWL,TYR,no,9128304015390403874,V
"LifeStride Womens Kascade Espadrille Wedge Mary Jane Flat, Black, 9 US",82721,63700,$35.09,,$35.09,$118.93,$117.26,-,,B09NTSS3NQ,712015447038,712015447038,B0CSJXZ6XP,LifeStride,yes,9126915283837598940,V
"Buffalo David Bitton Women's Mid-Rise Super Soft Capri Jeans (10/30, Grey Wash)",2705312,2112987,$34.97,2,$34.97,$49.99,$34.97,AGU0Z77H6PX1K,1,B0719WQNJ7,627650425139,627650425139,,Buffalo David Bitton,no,9101001344353776,V
LifeStride Womens Nonchalant Ballet Flat Black 12 W,145246,180612,$41.99,21,$41.99,$95.53,$67.85,-,0,B0BQ3XQHGC,17118030379,17118030379,B0BQ3H665B,LifeStride,yes,90863009991636145,V
"Kate Spade New York Birch Way Indigo Saucer, 0.30 LB, Blue",404637,425743,,,$24.00,$72.10,$28.99,AML6V7FTQQ2Y6,1,B01MTK06O2,882864693426,882864693426,B09PRX5D8K,Kate Spade New York,no,9081821466524703741,V
"Lacoste Men's Chaymon Sneaker, NVY/Wht, 12",50155,41736,$135.00,,$135.00,$178.46,$178.46,-,0,B0BQCV29Q3,196224235134,196224235134,B0D3R2MHQW,Lacoste,yes,9020954384000172737,V
