"Title","Sales Rank: 30 days avg.","Sales Rank: 90 days avg.","Buy Box 🚚: Current","Buy Box 🚚: Stock","New: Current","New: Highest","New, 3rd Party FBM 🚚: 30 days avg.","Lowest FBM Seller","Count of retrieved live offers: New, FBM","ASIN","Product Codes: EAN","Product Codes: UPC","Parent ASIN","Brand","Prime Eligible (Buy Box)"
"Birkenstock Womens Yara Sandal, Black Birko-Flor, Size 36 EU (5-5.5 M US Women)","144875","224230","$ 135.00","13","$ 135.00","$ 197.13","$ 135.00","A1C20BH4U0AX41","1","B0791L5DVX","0886457214036","886457214036","B00ES8FEQ0","Birkenstock","no"
"Birkenstock New Women's Yara Sandal Black BF 37 R","144275","232885","$ 135.00","6","$ 135.00","$ 190.05","$ 135.00","A1C20BH4U0AX41","1","B0791M1BMX","0886457214043","886457214043","B00ES8FEQ0","Birkenstock","no"
"Birkenstock Unisex Mayari Birko-Flor Nubuck Black Sandals 6 W / 4 M US","286159","469170","","","","$ 135.00","$ 110.23","-","","B07BBLHKT4","0886457104405","886457104405","B08JSS5PBJ","Birkenstock","yes"
"Birkenstock Women's Arizona Big Buckle Sandals, Antique Cognac, Brown, 10-10.5 Narrow","321774","535328","","","$ 200.00","$ 299.36","$ 248.13","A3NGEZYS7P4IJV","3","B079RLR512","0886457179182","886457179182","B09M7NT55S","Birkenstock","no"
"Birkenstock Womens Yara Sandal, Black Birko-Flor, Size 38 EU (7-7.5 M US Women)","145903","228751","$ 125.00","13","$ 125.00","$ 189.98","$ 125.00","A1C20BH4U0AX41","3","B0791LWTW7","0886457214050","886457214050","B00ES8FEQ0","Birkenstock","no"
"Birkenstock Womens Yara Sandal, Tobacco, Size 42 EU (11-11.5 M US Women)","142018","219026","","","$ 218.24","$ 228.42","$ 166.58","ANZYNJW9IIF9C","1","B076JYR7BT","0886457214180","886457214180","B00ES8FEQ0","Birkenstock","no"
"Birkenstock Womens Yara Black Oiled Leather Sandals,39 Regular EU","143400","227414","","","$ 218.24","$ 225.94","$ 145.37","A1C20BH4U0AX41","4","B076K2FQQ9","0886457214241","886457214241","B00ES8FEQ0","Birkenstock","no"
"Birkenstock Men's Boston Soft Footbed Clogs, Mink, Brown, 8 Medium US","277510","381221","$ 160.00","1","$ 160.00","$ 298.53","$ 203.64","A1C20BH4U0AX41","1","B079K9R9N5","0886457073275","886457073275","B0764LP9HS","Birkenstock","yes"
"Birkenstock Women's Boston Soft Footbed Clogs, Mink, Tan, 5-5.5 Medium US","275776","390616","","","$ 266.17","$ 287.14","$ 269.93","-","3","B079K645PZ","0886457073343","886457073343","B0764LP9HS","Birkenstock","yes"
"Birkenstock Men's Arizona Soft Footbed Sandals, Mink, Tan, 11 Medium US","4488","7889","$ 105.99","2","$ 105.99","$ 140.00","$ 110.56","A1M5EIC3PTHQ2U","1","B079K6KQTP","0886457071387","886457071387","B00BUQ4ADQ","Birkenstock","no"
"THE NORTH FACE Men's Larimer Lace II Shoe, TNF Black/Vintage Khaki, 11","1191958","929786","","","$ 177.79","$ 224.46","$ 161.41","A20FLYA0IW2L9O","1","B0BTHMZP9L","0196247609103","196247609103","B0BZ8YPQR8","THE NORTH FACE","no"
"Birkenstock 1011432141 Florida SFB TOB Oil LTR 41","244012","354443","","","$ 240.09","$ 256.13","$ 204.40","ANZYNJW9IIF9C","2","B074RM1WP5","0886457213367","886457213367","B0CM9F194V","Birkenstock","no"
"Birkenstock Women's Arizona Big Buckle Sandals, Antique Cognac, Brown, 11-11.5 Narrow US","296553","523145","","","$ 200.00","$ 294.30","$ 253.09","A3NGEZYS7P4IJV","2","B079RMRLKG","0886457179199","886457179199","B09M7NT55S","Birkenstock","no"
"Birkenstock 1011075342 Arizona Bb Black LTR 42","303377","511895","$ 190.00","1","$ 190.00","$ 296.05","$ 240.40","A1B43WMIJ58I3U","2","B079RMDP57","0886457179373","886457179373","B09M7NT55S","Birkenstock","yes"
