Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box: Stock,New: Current,Referral Fee %,"New, 3rd Party FBM: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Amazon offer),Custom_SKU,Google_Search_Link,Match,Amazon_link,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List,Black_list,PID
"New Balance Kid's Fresh Foam Arishi V2 Bungee Running Shoe, Black/Multi, 9.5 Toddler",90507,99042,,,,,,-,,B096N9GH3Z,195907383148,195907383148,B0C5N66B37,New Balance,yes,GB195907383148,https://www.google.com/search?q=195907383148+New+Balance+Kid%27s+Fresh+Foam+Arishi+V2+Bungee+Running+Shoe%2C+Black%2FMulti%2C+9.5+Toddler&tbm=shop,Y,https://www.amazon.com/dp/B096N9GH3Z?psc=1,"https://www.google.com/shopping/product/17573753703640963229/offers?q=195907383148&prds=cid:17573753703640963229,cond:1",ShoeStores.com,59.99,101.98,113.38,113.38,Y,V,8405247886484646485
"Tory Burch Women's Minnie Travel Ballet Flats, Washed Berry, Pink, 7 Medium US",88235,109044,,,,,,-,,B0BW28SLW8,196133800430,196133800430,B079B6XLCR,Tory Burch,,GB196133800430,https://www.google.com/search?q=196133800430+Tory+Burch+Women%27s+Minnie+Travel+Ballet+Flats%2C+Washed+Berry%2C+Pink%2C+7+Medium+US&tbm=shop,Y,https://www.amazon.com/dp/B0BW28SLW8?psc=1,"https://www.google.com/shopping/product/8253732031277601278/offers?q=196133800430&prds=cid:8253732031277601278,cond:1",Saks Fifth Avenue,95.5,162.35,180.5,180.5,Y,V,8253732031277601278
New Balance 237v1 Black/Magnet 2 11 D (M),62028,368058,,,154.99,,,-,1,B09SZQK1QR,195907743928,195907743928,B0BHMR9X78,New Balance,,GB195907743928,https://www.google.com/search?q=195907743928+New+Balance+237v1+Black%2FMagnet+2+11+D+%28M%29&tbm=shop,Y,https://www.amazon.com/dp/B09SZQK1QR?psc=1,"https://www.google.com/shopping/product/9693113927208488503/offers?q=195907743928&prds=cid:9693113927208488503,cond:1",L.L.Bean,79.99,135.98,151.18,153.99,Y,V,8215270998490170302
"New Balance Men's FuelCell 996 V4 Hard Court Tennis Shoe, Black/Vibrant Apricot, 10",186760,198256,,,,,,-,,B096NG47DS,195907774373,195907774373,B07RGTQ7S3,New Balance,,GB195907774373,https://www.google.com/search?q=195907774373+New+Balance+Men%27s+FuelCell+996+V4+Hard+Court+Tennis+Shoe%2C+Black%2FVibrant+Apricot%2C+10&tbm=shop,Y,https://www.amazon.com/dp/B096NG47DS?psc=1,"https://www.google.com/shopping/product/16590484157989137897/offers?q=195907774373&prds=cid:16590484157989137897,cond:1",BSTN Store,174.99,297.48,330.73,330.73,Y,V,8162415583650768946
New Balance Men's Fresh Foam X 880v13 Running Shoe Black/Phantom 12.5,31183,119305,,,,,,-,,B0BB3K96JN,196307619721,196307619721,B0CWLBD594,New Balance,,GB196307619721,https://www.google.com/search?q=196307619721+New+Balance+Men%27s+Fresh+Foam+X+880v13+Running+Shoe+Black%2FPhantom+12.5&tbm=shop,Y,https://www.amazon.com/dp/B0BB3K96JN?psc=1,"https://www.google.com/shopping/product/10445048370127121123/offers?q=196307619721&prds=cid:10445048370127121123,cond:1",Fleet Feet,105,178.5,198.45,198.45,Y,V,8144391591584515435
"New Balance Men's 460 V3 Running Shoe, Navy/Team Navy, 12 X-Wide",80338,91236,,,97.39,,,A16KGRDVT32A3B,1,B08PCCQHJ1,195173060392,195173060392,B08PD6YL7J,New Balance,,GB195173060392,https://www.google.com/search?q=195173060392+New+Balance+Men%27s+460+V3+Running+Shoe%2C+Navy%2FTeam+Navy%2C+12+X-Wide&tbm=shop,Y,https://www.amazon.com/dp/B08PCCQHJ1?psc=1,"https://www.google.com/shopping/product/6186770012259556081/offers?q=195173060392&prds=cid:6186770012259556081,cond:1",Kohl's,53.92,91.66,101.91,96.39,Y,V,8133237771499218004
"New Balance Boys’ Sweatpants – 4 Pack Active Tricot Jogger Sweatpants – Performance Track Pants with Pockets for Boys (4-20), Size 14-16, Black/Eclipse",22911,21707,52.99,282,52.99,,,-,0,B09TQ3KRB9,195187650770,195187650770,B08ZJQSSST,New Balance,yes,GB195187650770,https://www.google.com/search?q=195187650770+New+Balance+Boys%E2%80%99+Sweatpants+%E2%80%93+4+Pack+Active+Tricot+Jogger+Sweatpants+%E2%80%93+Performance+Track+Pants+with+Pockets+for+Boys+%284-20%29%2C+Size+14-16%2C+Black%2FEclipse&tbm=shop,Y,https://www.amazon.com/dp/B09TQ3KRB9?psc=1,"https://www.google.com/shopping/product/6462788723346111912/offers?q=195187650770&prds=cid:6462788723346111912,cond:1",Baseball Savings.com,17.25,29.32,32.6,51.99,Y,V,8082259957148334956
"New Balance Men's Fresh Foam Arishi V4 Running Shoe, Neon Dragonfly/Black, 9.5",1172,1357,,,,,,-,,B09YGZWR35,196432896110,196432896110,B09K52X9QR,New Balance,,GB196432896110,https://www.google.com/search?q=196432896110+New+Balance+Men%27s+Fresh+Foam+Arishi+V4+Running+Shoe%2C+Neon+Dragonfly%2FBlack%2C+9.5&tbm=shop,Y,https://www.amazon.com/dp/B09YGZWR35?psc=1,"https://www.google.com/shopping/product/10975486418241358245/offers?q=196432896110&prds=cid:10975486418241358245,cond:1",Rogans Shoes,66,112.2,124.74,124.74,Y,V,8001915269457229085
Women's New Balance Fresh Foam X More v4,3759,10045,,,,,,-,,B0BSRC9FCF,196432351046,196432351046,B0CN3KT3CZ,New Balance,,GB196432351046,https://www.google.com/search?q=196432351046+Women%27s+New+Balance+Fresh+Foam+X+More+v4&tbm=shop,Y,https://www.amazon.com/dp/B0BSRC9FCF?psc=1,"https://www.google.com/shopping/product/14216742632083933276/offers?q=196432351046&prds=cid:14216742632083933276,cond:1",Backcountry.com,107.47,182.7,203.12,203.12,Y,V,7852556870568077027
"Tory Burch Women's Eleanor Heeled Sandal 55 mm, New Ivory, 10",815703,836764,,,,,,-,,B09Y34LHJR,196133269336,196133269336,B0CKH96CL7,Tory Burch,,GB196133269336.0,https://www.google.com/search?q=196133269336.0+Tory+Burch+Women%27s+Eleanor+Heeled+Sandal+55+mm%2C+New+Ivory%2C+10&tbm=shop,N,https://www.amazon.com/dp/B09Y34LHJR?psc=1,"https://www.google.com/shopping/product/5286991329579979808/offers?q=196133269336&prds=cid:5286991329579979808,cond:1",Nordstrom,274.6,466.82,518.99,518.99,Y,V,7843408789827408705
