Title,Sales Rank: 30 days avg.,Sales Rank: 90 days avg.,Buy Box: Current,Buy Box 🚚: Stock,New: Current,"New, 3rd Party FBM 🚚: 30 days avg.",Lowest FBM Seller,"Count of retrieved live offers: New, FBM",ASIN,Product Codes: EAN,Product Codes: UPC,Parent ASIN,Brand,Prime Eligible (Buy Box),Custom_SKU,Google_Search_Link,Amazon_link,Match,Extraction_Link,Store,Price,Min Price,Max Price,Amazon_List_price,Can_List
"New Balance Men's 940 V4 Running Shoe, Magnet/Marine Blue, 9 Wide",103613,92529,,,236.62,$ 236.62,A2B9B9OGF1VYTL,1.0,B07RP21PX2,0193684995684,193684995684,B07RMJY55M,New Balance,no,GB193684995684,https://www.google.com/search?q=193684995684+New+Balance+Men%27s+940+V4+Running+Shoe%2C+Magnet%2FMarine+Blue%2C+9+Wide&tbm=shop,https://www.amazon.com/dp/B07RP21PX2?psc=1,Y,"https://www.google.com/shopping/product/11243278062400538445/offers?q=193684995684&prds=cid:11243278062400538445,cond:1",New Balance,149.99,254.98,283.48,,N
"New Balance Men's, Dynasoft Drft V2 Running Shoe Black White",109643,111341,,,,$ 49.70,-,,B093QFLVNC,0195907537046,195907537046,,New Balance,no,GB195907537046,https://www.google.com/search?q=195907537046+New+Balance+Men%27s%2C+Dynasoft+Drft+V2+Running+Shoe+Black+White&tbm=shop,https://www.amazon.com/dp/B093QFLVNC?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Men's, Dynasoft Drft V2 Running Shoe Black White",108126,110098,39.96,2.0,39.96,$ 49.75,A1BNXE6U3W2NOH,1.0,B093QMB232,0195907537039,195907537039,B09YB1PRZN,New Balance,no,GB195907537039,https://www.google.com/search?q=195907537039+New+Balance+Men%27s%2C+Dynasoft+Drft+V2+Running+Shoe+Black+White&tbm=shop,https://www.amazon.com/dp/B093QMB232?psc=1,N,Not Found,Not Found,,,,,N
"New Balance Men's Fresh Foam X Cruz V3 Running Shoe, Black/Blacktop/Gum 020, 15 Wide",73749,105287,,,,,-,,B0C34ZKDMY,0196652929681,196652929681,B0C34WRLFF,New Balance,yes,GB196652929681,https://www.google.com/search?q=196652929681+New+Balance+Men%27s+Fresh+Foam+X+Cruz+V3+Running+Shoe%2C+Black%2FBlacktop%2FGum+020%2C+15+Wide&tbm=shop,https://www.amazon.com/dp/B0C34ZKDMY?psc=1,Y,"https://www.google.com/shopping/product/12662340324980901572/offers?q=196652929681&prds=cid:12662340324980901572,cond:1",New Balance,89.99,152.98,170.08,170.08,Y
"New Balance Men's FuelCell Rebel TR V1 Running Shoe, White/Silver, 12 Wide",152205,166639,,,,,-,,B096N8ZHPZ,0195907615959,195907615959,B096NRT9Y4,New Balance,yes,GB195907615959,https://www.google.com/search?q=195907615959+New+Balance+Men%27s+FuelCell+Rebel+TR+V1+Running+Shoe%2C+White%2FSilver%2C+12+Wide&tbm=shop,https://www.amazon.com/dp/B096N8ZHPZ?psc=1,Y,"https://www.google.com/shopping/product/8427140913305302078/offers?q=195907615959&prds=cid:8427140913305302078,cond:1",Zappos.com,101.99,173.38,192.76,192.76,Y
"New Balance Men's Accelerate 7 Inch Short, Black, X-Large",63258,45784,,,,,-,,B09HY5MRP4,0196307737296,196307737296,B0BJ86TZDF,New Balance,yes,GB196307737296,https://www.google.com/search?q=196307737296+New+Balance+Men%27s+Accelerate+7+Inch+Short%2C+Black%2C+X-Large&tbm=shop,https://www.amazon.com/dp/B09HY5MRP4?psc=1,Y,"https://www.google.com/shopping/product/2254527427211398264/offers?q=196307737296&prds=cid:2254527427211398264,cond:1",Not Found,,,,,N
"New Balance Men's 515 V3 Classic Sneaker, Black/Nb White, 11.5 X-Wide",107562,91038,89.48,3.0,79.99,$ 89.88,A3BSCZERD91AOE,1.0,B09K4P7HPQ,0195481134877,195481134877,B0CQKB9FDX,New Balance,no,GB195481134877,https://www.google.com/search?q=195481134877+New+Balance+Men%27s+515+V3+Classic+Sneaker%2C+Black%2FNb+White%2C+11.5+X-Wide&tbm=shop,https://www.amazon.com/dp/B09K4P7HPQ?psc=1,Y,"https://www.google.com/shopping/product/9394398000447485657/offers?q=195481134877&prds=cid:9394398000447485657,cond:1",Not Found,,,,,N
"New Balance 306 - Jamie Foy White/Red US Men's 8, Women's 9.5 Medium",93118,81236,,,135.0,$ 135.00,A235BTOHON9V31,1.0,B089S19TQ9,0739980634133,739980634133,B08ZQK4Y39,New Balance,no,GB739980634133,https://www.google.com/search?q=739980634133+New+Balance+306+-+Jamie+Foy+White%2FRed+US+Men%27s+8%2C+Women%27s+9.5+Medium&tbm=shop,https://www.amazon.com/dp/B089S19TQ9?psc=1,Y,"https://www.google.com/shopping/product/8529313052889363597/offers?q=739980634133&prds=cid:8529313052889363597,cond:1",New Balance,81.94,139.3,154.87,,N
"New Balance Foy 306 Pink/Black US Men's 10.5, Women's 12 Medium",95891,83971,,,76.5,$ 83.34,A1764WC0Q3LLKR,3.0,B0C72JHMLB,0196652855706,196652855706,B08ZQK4Y39,New Balance,yes,GB196652855706,https://www.google.com/search?q=196652855706+New+Balance+Foy+306+Pink%2FBlack+US+Men%27s+10.5%2C+Women%27s+12+Medium&tbm=shop,https://www.amazon.com/dp/B0C72JHMLB?psc=1,Y,"https://www.google.com/shopping/product/16634422175449393695/offers?q=196652855706&prds=cid:16634422175449393695,cond:1",Tactics,76.95,130.81,145.44,,N
"New Balance Women's Modern Sneaker, Blue/Moon Shadow/White, 6",95425,87217,88.94,2.0,80.99,$ 89.58,AF4GO035LHAA2,1.0,B09DTGNB9G,0196071973357,196071973357,B07RGTX14M,New Balance,no,GB196071973357,https://www.google.com/search?q=196071973357+New+Balance+Women%27s+Modern+Sneaker%2C+Blue%2FMoon+Shadow%2FWhite%2C+6&tbm=shop,https://www.amazon.com/dp/B09DTGNB9G?psc=1,Y,"https://www.google.com/shopping/product/3337680254765238397/offers?q=196071973357&prds=cid:3337680254765238397,cond:1",Famous Footwear,89.98,152.97,170.06,,N
